Number	Title	Link	Date
1	Intro to the Course, Digital & New Media	https://csumb.instructure.com/courses/10123/modules/items/438207	Mon Aug 23
2	Intro to the Modern Web	https://csumb.instructure.com/courses/10123/modules/items/533452	Wed Aug 25
3	InstallFest	https://csumb.instructure.com/courses/10123/modules/items/438216	Mon Aug 30
4	Intro to HTML	https://csumb.instructure.com/courses/10123/modules/items/533454	Wed Sep 1
5	File Structure	https://csumb.instructure.com/courses/10123/modules/items/438245	Wed Sep 8
6	File Transfer	https://csumb.instructure.com/courses/10123/modules/items/533455	Mon Sep 13
7	More HTML	https://csumb.instructure.com/courses/10123/modules/items/438260	Wed Sep 15
8	More Complicated HTML	https://csumb.instructure.com/courses/10123/modules/items/438278	Mon Sep 20
9	Intro to CSS	https://csumb.instructure.com/courses/10123/modules/items/438284	Wed Sep 22
10	Intro to CSS	https://csumb.instructure.com/courses/10123/modules/items/533459	Mon Sep 27
11	Styling Block Elements	https://csumb.instructure.com/courses/10123/modules/items/533460	Wed Sep 29
12	Styling Text Elements	https://csumb.instructure.com/courses/10123/modules/items/533461	Mon Oct 4
13	Advanced Block-level Styling 1	https://csumb.instructure.com/courses/10123/modules/items/438319	Wed Oct 6
14	Advanced Block-level Styling 2	https://csumb.instructure.com/courses/10123/modules/items/438328	Mon Oct 11
15	Advanced Typography 1	https://csumb.instructure.com/courses/10123/modules/items/533463	Wed Oct 13
16	Advanced Typography 2	https://csumb.instructure.com/courses/10123/modules/items/438352	Mon Oct 18
17	Fancy CSS 1	https://csumb.instructure.com/courses/10123/modules/items/533464	Wed Oct 20
18	Fancy CSS 2	https://csumb.instructure.com/courses/10123/modules/items/533465	Mon Oct 25
19	CSS Layout	https://csumb.instructure.com/courses/10123/modules/items/438384	Wed Oct 27
20	Responsive Design	https://csumb.instructure.com/courses/10123/modules/items/533466	Mon Nov 1
21	Final Project Ideas	https://csumb.instructure.com/courses/10123/modules/items/438406	Wed Nov 3
22	CSS Frameworks	https://csumb.instructure.com/courses/10123/modules/items/533467	Mon Nov 8
23	Design Process	https://csumb.instructure.com/courses/10123/modules/items/438420	Wed Nov 10
24	Project Sketches 1	https://csumb.instructure.com/courses/10123/modules/items/438431	Mon Nov 15
25	Project Sketches 2	https://csumb.instructure.com/courses/10123/modules/items/438436	Wed Nov 17
26	Systems Design	https://csumb.instructure.com/courses/10123/modules/items/438443	Mon Nov 29
27	Document Object Model	https://csumb.instructure.com/courses/10123/modules/items/438458	Wed Dec 1
28	Content Management Systems	https://csumb.instructure.com/courses/10123/modules/items/533468	Mon Dec 6
29	Team Consultations, Production	https://csumb.instructure.com/courses/10123/modules/items/438465	Wed Dec 8
30	Presentation	https://csumb.instructure.com/courses/10123/modules/items/438468	Mon Dec 13
31	Presentation	https://csumb.instructure.com/courses/10123/modules/items/533469	Wed Dec 15
